Price,Build,SIM,Processor,Display,Camera,Battery,Storage,RAM,WiFi_Version,Dual_Band,Tri_Band,Hotspot,WiFi_Direct,Accelerometer,Compass,Fingerprint,Barometer,HeartRate
604999.0,14,2,8,0,50,4400,512,12,7,0,1,0,1,1,1,1,1,0
469999.0,14,2,8,3,200,5000,512,12,7,0,1,0,1,1,1,1,1,0
439999.0,15,2,8,3,200,5000,512,12,7,0,1,0,1,1,1,1,1,0
434999.0,14,2,8,3,200,5000,256,12,7,0,1,0,1,1,1,1,1,0
399999.0,13,2,8,1,50,4400,256,12,7,0,1,0,1,1,1,1,0,0
384999.0,14,1,8,1,50,4000,512,12,6,0,1,0,1,1,1,1,1,0
368999.0,13,1,8,1,12,3700,128,12,6,0,1,0,1,1,1,1,1,0
314999.0,15,1,8,3,50,4000,512,12,6,0,1,0,1,1,1,1,1,0
289999.0,14,2,10,3,50,4000,128,8,6,0,1,0,1,1,1,1,1,0
254999.0,16,2,10,3,50,4900,512,8,6,1,1,0,1,1,1,1,0,0
219999.0,16,2,10,3,50,4900,256,8,6,1,1,0,1,1,1,1,0,0
219999.0,14,2,10,0,50,4700,256,8,6,1,1,0,1,1,1,1,0,0
204999.0,13,2,8,0,50,4500,256,8,6,1,0,0,1,1,1,1,0,0
140999.0,13,2,8,5,50,5000,128,8,6,1,0,0,1,1,1,1,0,0
139999.0,14,2,8,5,50,5000,256,8,6,1,0,0,1,1,1,1,0,0
137999.0,15,2,8,5,50,5000,256,8,6,1,0,0,1,1,1,1,0,0
119999.0,14,2,8,5,50,5000,256,8,6,1,0,0,1,1,1,1,0,0
119999.0,15,2,8,5,50,5000,256,8,6,1,0,0,1,1,1,1,0,0
114999.0,13,2,8,5,48,5000,256,8,5,1,0,0,1,1,1,1,0,0
109999.0,13,2,8,5,48,5000,128,8,5,1,0,0,1,1,1,1,0,0
98499.0,14,2,8,5,50,5000,256,8,5,1,0,0,1,1,1,1,0,0
84999.0,15,2,8,5,50,5000,256,8,6,1,0,0,1,1,1,1,0,0
72999.0,13,2,8,5,50,5000,128,8,5,1,0,0,1,1,1,1,0,0
62999.0,15,2,8,5,50,5000,256,8,5,1,0,0,1,1,1,1,0,0
62999.0,12,2,8,6,50,5000,128,4,5,1,0,1,1,1,1,1,0,0
61999.0,14,2,8,5,50,5000,256,8,5,1,0,0,1,1,1,1,0,0
59999.0,14,2,8,5,50,5000,256,8,5,1,0,0,1,1,1,1,0,0
54999.0,15,2,8,5,50,5000,128,6,5,1,0,0,1,1,1,1,0,0
54999.0,14,2,8,5,50,5000,128,6,5,1,0,0,1,1,1,1,0,0
52999.0,14,2,8,5,50,5000,128,6,5,1,0,0,1,1,1,1,0,0
44999.0,13,2,8,4,50,5000,128,6,5,1,0,0,1,1,1,1,0,0
44999.0,13,2,8,4,50,5000,128,6,5,1,0,0,1,1,0,1,0,0
44999.0,12,2,8,6,50,5000,64,4,5,1,0,1,1,1,1,1,0,0
43999.0,12,2,8,4,50,5000,128,4,5,1,0,0,1,1,0,1,0,0
39999.0,12,2,8,4,50,5000,64,4,5,1,0,0,1,1,0,1,0,0
38499.0,13,2,8,4,50,5000,128,4,5,1,0,0,1,1,0,1,0,0
38499.0,15,2,8,4,50,5000,128,6,5,1,0,0,1,1,0,1,0,0
35999.0,13,2,8,4,50,5000,128,6,5,1,0,0,1,1,0,0,0,0
35499.0,12,2,8,4,50,5000,64,4,5,1,0,1,1,1,0,0,0,0
33999.0,12,2,8,4,13,5000,32,4,1,0,0,1,0,1,0,0,0,0
32999.0,13,2,8,4,50,5000,128,4,5,1,0,0,1,1,1,1,0,0
32499.0,15,2,8,4,50,5000,128,4,5,1,0,0,1,1,0,1,0,0
31999.0,14,2,8,4,50,5000,128,4,5,1,0,0,1,1,1,1,0,0
29999.0,13,2,8,4,50,5000,128,4,5,1,0,0,1,1,0,0,0,0
27499.0,15,2,8,4,50,5000,64,4,5,1,0,0,1,1,0,1,0,0
26999.0,14,2,8,4,50,5000,64,4,5,1,0,0,1,1,1,1,0,0
24999.0,13,2,8,4,50,5000,64,4,5,1,0,0,1,1,0,0,0,0
24999.0,12,2,8,4,50,5000,32,3,5,1,0,1,1,1,0,0,0,0
574999.0,12,1,8,1,50,4400,512,12,6,1,0,1,1,1,1,1,1,0
539999.0,12,2,8,1,50,4400,256,12,6,1,0,1,1,1,1,1,1,0
399999.0,13,2,8,0,50,3900,256,8,6,1,0,1,1,1,1,1,1,0
389999.0,13,2,8,0,200,5000,512,12,6,0,1,0,1,1,1,1,1,0
332999.0,12,1,8,1,12,3700,128,8,6,1,0,1,1,1,1,1,1,0
170499.0,12,2,8,5,108,5000,256,8,6,1,0,1,1,1,1,1,0,0
133999.0,12,2,8,5,64,5000,128,8,5,1,0,1,1,1,1,1,0,0
112499.0,12,2,8,5,48,5000,128,8,5,1,0,1,1,1,1,1,0,0
78499.0,12,2,8,4,50,5000,128,6,5,1,0,1,1,1,1,1,0,0
61999.0,12,2,8,5,48,5000,128,6,5,1,0,1,1,1,1,1,0,0
41599.0,11,2,8,4,48,5000,64,4,1,0,0,1,1,1,0,0,0,0
27999.0,11,2,8,4,48,5000,32,3,5,1,0,1,1,1,0,0,0,0
424999.0,12,2,8,0,108,5000,128,16,6,1,0,1,1,1,1,1,1,0
314999.0,11,2,8,1,12,4400,256,12,6,1,0,1,1,1,1,1,1,0
242999.0,11,2,8,0,108,5000,256,12,6,1,0,1,1,1,1,1,1,0
232999.0,12,2,8,0,50,3700,256,8,6,1,0,1,1,1,1,1,1,0
219999.0,10,2,8,0,108,4500,256,8,6,1,0,1,1,1,1,1,1,0
199999.0,11,1,8,1,12,3300,256,8,6,1,0,1,1,1,1,1,1,0
184999.0,11,2,8,0,12,4800,256,8,6,1,0,1,1,1,1,1,1,0
179999.0,10,2,8,5,12,4300,256,8,6,1,0,1,1,1,1,1,1,0
176499.0,11,2,8,0,12,4000,128,8,6,1,0,1,1,1,1,1,1,0
172999.0,12,2,8,0,12,4500,256,8,6,1,0,1,1,1,1,1,1,0
170999.0,10,2,8,0,12,4000,128,8,5,1,0,1,1,1,1,1,1,0
162999.0,12,2,8,0,12,4500,128,8,6,1,0,1,1,1,1,1,0,0
122499.0,10,2,8,5,12,4500,128,8,6,1,0,1,1,1,1,1,1,0
88999.0,11,2,8,5,64,4500,256,8,5,1,0,1,1,1,1,1,0,0
82999.0,11,2,8,5,64,5000,128,8,5,1,0,1,1,1,1,1,0,0
82999.0,11,2,8,5,64,5000,128,8,6,1,0,1,1,1,1,1,0,0
75999.0,11,2,8,5,64,5000,128,6,5,1,0,1,1,1,1,1,0,0
71999.0,11,2,8,5,64,4500,128,8,5,1,0,1,1,1,1,1,0,0
69999.0,11,2,8,5,48,5000,128,6,5,1,0,1,1,1,1,1,0,0
65999.0,11,2,8,5,64,4500,128,8,5,1,0,1,1,1,1,1,0,0
59999.0,11,2,8,5,48,5000,128,4,5,1,0,1,1,1,1,1,0,0
56999.0,10,2,8,5,64,4500,128,8,5,1,0,1,1,1,1,1,0,0
54999.0,10,2,8,5,48,4000,128,8,5,1,0,1,0,1,1,1,0,0
49999.0,10,2,8,5,48,4000,128,6,5,1,0,1,0,1,1,1,0,0
36999.0,9,2,8,5,25,4000,64,4,5,1,0,1,1,1,1,1,0,0
36999.0,10,2,8,5,48,5000,128,4,5,1,0,1,0,1,1,1,0,0
30500.0,9,2,8,2,13,4000,32,4,1,0,0,1,1,1,1,1,0,0
29999.0,10,2,8,6,48,5000,64,6,5,1,0,1,1,1,0,1,0,0
28500.0,9,2,6,5,13,4000,32,3,5,1,0,1,0,1,1,1,0,0
27500.0,10,2,8,6,48,5000,128,4,1,0,0,1,1,1,0,1,0,0
24999.0,10,2,8,6,13,5000,32,3,1,0,0,1,1,1,0,1,0,0
24999.0,10,2,8,6,48,5000,64,4,1,0,0,1,1,1,0,1,0,0
23499.0,11,2,8,6,13,5000,64,4,1,0,0,1,1,1,0,1,0,0
22499.0,11,2,8,6,13,5000,32,3,1,0,0,1,0,1,0,1,0,0
21399.0,10,2,8,6,13,5000,64,4,1,0,0,1,0,1,0,0,0,0
18599.0,10,2,8,6,13,5000,32,3,1,0,0,1,0,1,0,0,0,0
18500.0,11,2,8,6,8,5000,32,2,1,0,0,1,0,1,0,1,0,0
17899.0,10,2,4,2,13,5000,64,3,1,0,0,1,1,1,0,0,0,0
16999.0,9,2,8,2,13,4000,32,2,5,1,0,1,0,1,0,1,0,0
16699.0,10,2,4,2,13,5000,32,3,1,0,0,1,1,1,0,0,0,0
15999.0,10,2,8,2,13,3000,16,2,1,0,0,1,0,1,0,0,0,0
74499.0,9,2,8,0,12,3500,256,8,6,1,0,1,1,1,1,1,1,1
74499.0,9,2,8,5,25,4000,128,4,5,1,0,1,0,1,1,1,0,0
74499.0,9,2,8,5,16,4000,64,4,5,1,0,1,0,1,1,1,0,0
74499.0,9,2,8,0,12,4300,256,12,5,1,0,1,1,1,1,1,1,0
74499.0,11,2,8,5,64,5000,256,8,5,1,0,1,1,1,1,1,0,0
74499.0,8,2,8,4,12,3000,64,4,5,1,0,1,1,1,0,1,0,1
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,9,2,8,0,12,4380,512,12,5,1,0,1,1,1,1,1,0,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,9,2,8,0,12,3400,128,8,5,1,0,1,1,1,1,1,0,1
74499.0,10,2,8,5,12,4500,128,8,5,1,0,1,1,1,1,1,1,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,10,2,8,1,12,4500,256,12,6,1,0,1,1,1,1,1,1,0
74499.0,9,2,8,0,12,4100,128,8,5,1,0,1,1,1,1,0,0,1
74499.0,10,2,8,0,12,4500,128,8,6,1,0,1,1,1,1,1,1,0
74499.0,10,2,8,0,108,5000,128,12,6,1,0,1,1,1,1,1,1,0
74499.0,10,1,8,1,12,3300,256,8,6,1,0,1,1,1,1,1,0,0
74499.0,10,2,8,5,48,4500,128,8,5,1,0,1,1,1,1,0,0,0
639999.0,15,1,8,1,50,5700,256,16,7,0,1,0,1,1,1,1,1,0
239999.0,15,2,8,3,200,4000,256,12,7,0,1,0,1,1,1,1,1,0
359999.0,15,2,8,3,50,5000,256,12,7,0,1,0,1,1,1,1,1,0
74499.0,16,2,10,1,50,4000,128,8,6,1,0,0,1,1,1,1,1,0
654999.0,15,2,8,1,50,5700,512,16,6,1,0,1,1,1,1,1,1,0
434999.0,15,2,8,3,50,5500,256,16,7,0,1,0,1,1,1,1,1,0
